Name,Fide ID,Nascimento,Place of Birth,Death,Date they became Grandmaster,Federation,Sexo,Age they became Grandmaster
"Aagaard, Jacob",1401815.0,1973-07-31 00:00:00,Hørsholm,,2007,Denmark • Scotland,M,34.0
"Abasov, Nijat",13402960.0,1995-05-14 00:00:00,Baku,,2011,Azerbaijan,M,16.0
"Abbasifar, Hasan",12501000.0,1972-09-12 00:00:00,Shiraz,,2013,Iran,M,41.0
"Abbasov, Farid",13400665.0,1979-01-31 00:00:00,Baku,,2007,Azerbaijan,M,28.0
"Abdusattorov, Nodirbek",14204118.0,2004-09-18 00:00:00,,,2018,Uzbekistan,M,14.0
"Abergel, Thal",614890.0,1982-10-13 00:00:00,Haifa,,2008,France,M,26.0
"Abramović, Boško",900206.0,1951-02-14 00:00:00,Zrenjanin,,1984,Yugoslavia • Serbia,M,33.0
"Abreu Delgado, Aryam",3502589.0,1978-07-09 00:00:00,Güines,,2008,Cuba,M,30.0
"Ács, Péter",708020.0,1981-05-10 00:00:00,Eger,,1998,Hungary,M,17.0
"Aczél, Gergely",727709.0,1991-02-27 00:00:00,Budapest,,2018,Hungary,M,27.0
"Adams, Michael",400041.0,1971-11-17 00:00:00,Truro,,1989,England,M,18.0
"Adhiban, B.",5018471.0,1992-08-15 00:00:00,Madras,,2010,India,M,18.0
"Adianto, Utut",7100019.0,1965-03-16 00:00:00,Jakarta,,1986,Indonesia,M,21.0
"Adly, Ahmed",10601619.0,1987-02-19 00:00:00,Cairo,,2005,Egypt,M,18.0
"Adorján, András",700096.0,1950-03-31 00:00:00,Budapest,,1973,Hungary,M,23.0
"Afanasiev, Nikita",24183555.0,2000-08-29 00:00:00,,,2020,Russia,M,20.0
"Agaragimov, Djakhangir",13401718.0,1986-12-05 00:00:00,,,2014,Azerbaijan,M,28.0
"Agdestein, Simen",1500015.0,1967-05-15 00:00:00,Asker,,1985,Norway,M,18.0
"Aghamaliyev, Cemil",13400215.0,1974-08-31 00:00:00,,,2002,Azerbaijan • Turkey,M,28.0
"Aghasaryan, Robert",13302841.0,1994-03-01 00:00:00,Saint Petersburg,,2014,Armenia,M,20.0
"Agrest, Evgeny",1705024.0,1966-08-15 00:00:00,Vitebsk,,1997,Russia • Sweden,M,31.0
"Agüero Jiménez, Luis Lázaro",3508455.0,1991-01-05 00:00:00,Havana,,2019,Cuba,M,28.0
"Agzamov, Georgy",,1954-09-06 00:00:00,Almalyk,1986-08-27 00:00:00,1984,Soviet Union,M,30.0
"Ajrapetjan, Yuriy",14109069.0,1988-04-18 00:00:00,Yerevan,,2007,Ukraine,M,19.0
Akash G,5040299.0,1996-10-01 00:00:00,Chennai,,2020,India,M,24.0
"Akbaev, Kazbek",4131045.0,1981-06-08 00:00:00,Cherkessk,,2015,Russia,M,34.0
"Åkesson, Ralf",1700120.0,1961-02-08 00:00:00,Oxelösund,,1995,Sweden,M,34.0
"Akobian, Varuzhan",13300580.0,1983-11-19 00:00:00,Yerevan,,2004,Armenia • United States,M,21.0
"Akopian, Vladimir",13300032.0,1971-12-07 00:00:00,Baku,,1991,Armenia,M,20.0
Akshayraj Kore,5012414.0,1988-09-01 00:00:00,Ahmednagar,,2013,India,M,25.0
"Al Sayed, Mohamad Naser",12100196.0,1981-11-02 00:00:00,,,2009,Qatar,M,28.0
"Al-Mudahka, Mohd",12100030.0,1974-06-01 00:00:00,,,1998,Qatar,M,24.0
"Alatortsev, Vladimir",,1909-05-14 00:00:00,Turki,1987-01-13 00:00:00,1983,Soviet Union,M,74.0
"Alavkin, Arseny",4120612.0,1969-01-17 00:00:00,Kazan,,2010,Russia,M,41.0
"Albornoz Cabrera, Carlos Daniel",3518736.0,2000-12-26 00:00:00,Camagüey,,2019,Cuba,M,19.0
"Alburt, Lev",2000156.0,1945-08-21 00:00:00,Orenburg,,1977,Soviet Union • United States,M,32.0
"Aleksandrov, Aleksej",13500139.0,1973-05-11 00:00:00,,,1997,Belarus,M,24.0
"Alekseenko, Kirill",4135539.0,1997-06-22 00:00:00,Saint Petersburg,,2015,Russia,M,18.0
"Alekseev, Evgeny",4138147.0,1985-11-28 00:00:00,Pushkin,,2002,Russia,M,17.0
"Ali Marandi, Cemil Can",6300529.0,1998-01-17 00:00:00,İzmir,,2017,Turkey,M,19.0
"Almási, Zoltán",702293.0,1976-08-29 00:00:00,Járdánháza,,1993,Hungary,M,17.0
"Almeida Quintana, Omar",3503313.0,1981-10-28 00:00:00,Havana,,2006,Cuba,M,25.0
"Alonso Rosell, Alvar",2270544.0,1992-09-13 00:00:00,Figueres,,2013,Spain,M,21.0
"Alonso, Salvador",105198.0,1974-09-07 00:00:00,Buenos Aires,,2009,Argentina,M,35.0
"Alsina Leal, Daniel",2252627.0,1988-05-10 00:00:00,Barcelona,,2010,Spain,M,22.0
"Alterman, Boris",2801906.0,1970-05-04 00:00:00,Kharkiv,,1992,Ukraine • Israel,M,22.0
"Alvarez Pedraza, Aramis",3507408.0,1988-07-27 00:00:00,"Santa Clara, Cuba",,2010,Cuba,M,22.0
"Amanov, Mesgen",14000652.0,1986-09-06 00:00:00,Daşoguz,,2009,Turkmenistan,M,23.0
"Amin, Bassem",10601457.0,1988-09-09 00:00:00,Tanta,,2006,Egypt,M,18.0
"Amonatov, Farrukh",14700077.0,1978-04-13 00:00:00,,,2002,Tajikistan,M,24.0
"Anagnostopoulos, Dimitris",4204077.0,1970-06-11 00:00:00,,,1996,Greece,M,26.0
"Anand, Viswanathan",5000017.0,1969-12-11 00:00:00,Madras,,1988,India,M,19.0
"Anastasian, Ashot",13300059.0,1964-07-16 00:00:00,Yerevan,2016-12-26 00:00:00,1993,Armenia,M,29.0
"Andersen, Mads",1413864.0,1995-03-01 00:00:00,Nuuk,,2016,Denmark,M,21.0
"Andersson, Ulf",1700014.0,1951-06-27 00:00:00,Västerås,,1972,Sweden,M,21.0
"Andreev, Eduard",14103400.0,1980-03-12 00:00:00,Slaviansk,,2005,Ukraine,M,25.0
"Andreikin, Dmitry",4158814.0,1990-02-05 00:00:00,Ryazan,,2007,Russia,M,17.0
"Andriasian, Zaven",13302000.0,1989-03-11 00:00:00,Yerevan,,2006,Armenia,M,17.0
"Anić, Darko",602612.0,1957-04-30 00:00:00,Zadar,,1999,France,M,42.0
"Anisimov, Pavel",4135229.0,1986-04-19 00:00:00,Leningrad,,2019,Russia,M,33.0
"Anka, Emil",700754.0,1969-01-20 00:00:00,Békéscsaba,,2001,Hungary,M,32.0
"Annageldyev, Orazly",14000016.0,1960-03-20 00:00:00,Bezmein,,2005,Turkmenistan,M,45.0
"Annakov, Babakuli",14000032.0,1972-05-29 00:00:00,,,1998,Turkmenistan • United States,M,26.0
"Antal, Gergely",717312.0,1985-03-20 00:00:00,,,2011,Hungary,M,26.0
"Antić, Dejan",901008.0,1968-12-09 00:00:00,Belgrade,,1999,Yugoslavia • Serbia,M,31.0
"Antipov, Mikhail",4107012.0,1997-06-10 00:00:00,Moscow,,2013,Russia,M,16.0
"Antón Guijarro, David",2285525.0,1995-06-23 00:00:00,Murcia,,2013,Spain,M,18.0
"Antoniewski, Rafał",1111078.0,1980-12-03 00:00:00,Bielsko-Biała,,2010,Poland,M,30.0
"Antonio, Jr., Rogelio",5200032.0,1962-02-19 00:00:00,,,1993,Philippines,M,31.0
"Antoshin, Vladimir",,1929-05-14 00:00:00,Moscow,1994-05-13 00:00:00,1964,Russia,M,35.0
"Antunes, Antônio",1900013.0,1962-02-06 00:00:00,Lisbon,,1994,Portugal,M,32.0
Anurag Mhamal,5024366.0,1995-04-28 00:00:00,Panaji,,2017,India,M,22.0
"Apicella, Manuel",600164.0,1970-04-19 00:00:00,Longjumeau,,1995,France,M,25.0
"Appel, Ralf",4600924.0,1971-07-18 00:00:00,Pirmasens,,2008,Germany,M,37.0
"Arakhamia-Grant, Ketevan",13600168.0,1968-07-19 00:00:00,Ochamchira,,2009,Scotland,F,41.0
Aravindh Chithambaram,5072786.0,1999-09-11 00:00:00,Thirunagar,,2015,India,M,16.0
"Arbakov, Valentin",4100620.0,1952-01-28 00:00:00,,2003-11-30 00:00:00,1994,Russia,M,42.0
"Ardiansyah, Hasan",7100027.0,1951-12-05 00:00:00,Banjarmasin,2017-10-28 00:00:00,1986,Indonesia,M,35.0
"Arenas, David",4403177.0,1991-12-24 00:00:00,,,2017,Colombia,M,26.0
"Arencibia Rodríguez, Walter",3500012.0,1967-07-21 00:00:00,Holguín,,1990,Cuba,M,23.0
"Areshchenko, Alexander",14109530.0,1986-06-15 00:00:00,Lugansk,,2002,Ukraine,M,16.0
"Arizmendi Martínez, Julen Luís",2205092.0,1976-07-05 00:00:00,Weekawken,,2004,Spain,M,28.0
"Arkell, Keith",400270.0,1961-01-08 00:00:00,Birmingham,,1995,England,M,34.0
"Arkhipov, Sergey",4101146.0,1954-06-23 00:00:00,Moscow,,1991,Russia,M,37.0
"Árnason, Jón Loftur",2300036.0,1960-11-13 00:00:00,Reykjavík,,1986,Iceland,M,26.0
"Arnaudov, G. Petar",2907127.0,1986-08-08 00:00:00,Plovdiv,,2013,Bulgaria,M,27.0
"Arnold, Marc Tyler",2022320.0,1992-11-20 00:00:00,New York City,,2012,United States,M,20.0
"Aronian, Levon",13300474.0,1982-10-06 00:00:00,Yerevan,,2000,Armenia • Germany • Armenia,M,18.0
"Aroshidze, Levan",13601865.0,1985-07-09 00:00:00,Tbilisi,,2006,Georgia • Spain,M,21.0
"Arribas Lopez, Angel",2283352.0,1993-11-27 00:00:00,Madrid,,2014,Spain,M,21.0
"Artemiev, Vladislav",24101605.0,1998-03-05 00:00:00,Omsk,,2014,Russia,M,16.0
"Arun Prasad, S.",5011167.0,1988-04-21 00:00:00,Salem,,2008,India,M,20.0
"Arutinian, David",13601741.0,1984-05-31 00:00:00,Tbilisi,,2006,Georgia,M,22.0
"Arzumanian, Georgy",13300660.0,1980-08-16 00:00:00,Tbilisi,,2009,Armenia,M,29.0
"Asadli, Vugar",13405764.0,2001-10-09 00:00:00,Baku,,2019,Azerbaijan,M,18.0
"Asanov, Bolat",13700049.0,1961-05-07 00:00:00,Alma-Ata,,1994,Kazakhstan,M,33.0
"Aseev, Konstantin",4100247.0,1960-10-20 00:00:00,Novokuznetsk,2004-08-22 00:00:00,1992,Russia,M,32.0
"Ashley, Maurice",2001012.0,1966-03-06 00:00:00,Saint Andrew,,2000,United States,M,34.0
Ashwin Jayaram,5018137.0,1990-08-14 00:00:00,Aluva,,2015,India,M,25.0
"Asis Gargatagli, Hipolito",2260735.0,1986-08-17 00:00:00,Barcelona,,2019,Spain,M,33.0
"Askarov, Marat",4141229.0,1987-06-29 00:00:00,Kazan,,2008,Russia,M,21.0
"Asrian, Karen",13300490.0,1980-04-24 00:00:00,Yerevan,2008-06-09 00:00:00,1998,Armenia,M,18.0
"Atabayev, Maksat",14001101.0,1994-12-28 00:00:00,Gypjak,,2015,Turkmenistan,M,21.0
"Atalık, Suat",14401487.0,1964-10-10 00:00:00,Istanbul,,1994,Turkey,M,30.0
"Averbakh, Yuri",4101529.0,1922-02-08 00:00:00,Kaluga,,1952,Soviet Union • Russia,M,30.0
"Aveskulov, Valeriy",14109743.0,1986-01-31 00:00:00,Antratsyt,,2006,Ukraine,M,20.0
"Avrukh, Boris",2803895.0,1978-02-10 00:00:00,Karaganda,,1997,Israel,M,19.0
"Azarov, Sergei",13501470.0,1983-05-19 00:00:00,Minsk,,2003,Belarus,M,20.0
"Azmaiparashvili, Zurab",13601326.0,1960-03-16 00:00:00,Tbilisi,,1988,Soviet Union • Georgia,M,28.0
"Babaev, Rashad",13400681.0,1981-09-03 00:00:00,Baku,,2007,Azerbaijan,M,26.0
"Babujian, Levon",13301993.0,1986-05-08 00:00:00,Yerevan,,2010,Armenia,M,24.0
"Babula, Vlastimil",301264.0,1973-10-02 00:00:00,Uherský Brod,,1997,Czechoslovakia,M,24.0
"Baburin, Alexander",2500914.0,1967-02-19 00:00:00,Nizhny Novgorod,,1996,Israel,M,29.0
"Bacallao Alonso, Yusnel",3507416.0,1988-06-21 00:00:00,Matanzas,,2012,Cuba,M,24.0
"Bachmann, Axel",3700488.0,1989-11-04 00:00:00,Ciudad del Este,,2007,Paraguay,M,18.0
"Bacrot, Étienne",605506.0,1983-01-22 00:00:00,Lille,,1997,France,M,14.0
"Badea, Bela",1200038.0,1969-02-21 00:00:00,Aiud,,1999,Romania,M,30.0
"Bagaturov, Giorgi",13600133.0,1964-11-28 00:00:00,,,1999,Georgia,M,35.0
"Baghdasaryan, Vahe",13303139.0,1993-03-20 00:00:00,Yerevan,,2017,Armenia,M,24.0
"Bagheri, Amir",12500283.0,1978-09-20 00:00:00,,,2003,Iran,M,25.0
"Bagirov, Rufat",13400401.0,1979-10-10 00:00:00,,,2002,Azerbaijan,M,23.0
"Bagirov, Vladimir",11600063.0,1936-08-16 00:00:00,Batumi,2000-07-21 00:00:00,1978,Soviet Union • Latvia,M,42.0
"Bagrationi, Alexander",14104954.0,1990-07-13 00:00:00,,,2014,Ukraine,M,24.0
Bai Jinshi,8602280.0,1999-05-18 00:00:00,Jilin,,2015,China,M,16.0
"Bajarani, Ulvi",13403028.0,1995-01-27 00:00:00,Baku,,2013,Azerbaijan,M,18.0
"Baklan, Vladimir",14102196.0,1978-02-25 00:00:00,Kiev,,1998,Ukraine,M,20.0
"Bakre, Tejas",5004195.0,1981-05-12 00:00:00,,,2004,India,M,23.0
"Balashov, Yuri",4100263.0,1949-03-12 00:00:00,Shadrinsk,,1973,Soviet Union • Russia,M,24.0
"Baldauf, Marco",4688210.0,1990-04-16 00:00:00,Rosenheim,,2019,Germany,M,29.0
"Balinas Jr., Rosendo",5200075.0,1941-09-10 00:00:00,Manila,1998-09-24 00:00:00,1976,Philippines,M,35.0
"Balinov, Ilia",1610201.0,1966-07-28 00:00:00,Batak,,1999,Austria,M,33.0
"Balog, Imre",728446.0,1991-10-28 00:00:00,Békéscsaba,,2011,Hungary,M,20.0
"Balogh, Csaba",718939.0,1987-03-10 00:00:00,Budapest,,2004,Hungary,M,17.0
"Banikas, Hristos",4202031.0,1978-05-20 00:00:00,Thessaloniki,,2001,Greece,M,23.0
"Bánusz, Tamás",722413.0,1989-04-08 00:00:00,Mohács,,2011,Hungary,M,22.0
"Baramidze, David",4667719.0,1988-09-27 00:00:00,Tbilisi,,2004,Germany,M,16.0
"Barbero, Gerardo",100048.0,1961-08-21 00:00:00,Lanús,2001-03-04 00:00:00,1987,Argentina,M,26.0
"Barbosa, Evandro Amorim",2115824.0,1992-08-24 00:00:00,São Sebastião do Paraíso,,F,Brazil,M,
"Barbosa, Oliver",5201640.0,1986-09-29 00:00:00,Pasig,,2011,Philippines,M,25.0
"Barcenilla, Rogelio",5200059.0,1972-01-23 00:00:00,Bacolod,,2010,Philippines,M,38.0
"Barcza, Gedeon",,1911-08-21 00:00:00,Kisújszállás,1986-02-27 00:00:00,1954,Hungary,M,43.0
"Bárczay, László",700851.0,1936-02-21 00:00:00,Miskolc,2016-04-07 00:00:00,1967,Hungary,M,31.0
"Bareev, Evgeny",4100140.0,1966-11-21 00:00:00,Yemanzhelinsk,,1989,Canada,M,23.0
"Barlov, Dragan",900214.0,1957-01-30 00:00:00,Kragujevac,,1986,Yugoslavia • Serbia,M,29.0
"Baron, Tal",2809958.0,1992-08-07 00:00:00,,,2011,Israel,M,19.0
"Barrientos, Sergio",4401824.0,1986-06-29 00:00:00,Medellín,,2011,Colombia,M,25.0
"Barsov, Alexei",14200082.0,1966-04-03 00:00:00,Samarkand,,2000,Uzbekistan,M,34.0
"Bartel, Mateusz",1112635.0,1985-01-03 00:00:00,Warsaw,,2005,Poland,M,20.0
"Barua, Dibyendu",5000025.0,1966-10-27 00:00:00,Chittagong,,1991,India,M,25.0
"Barus, Cerdas",7100094.0,1962-01-01 00:00:00,Kabanjahe,,2003,Indonesia,M,41.0
"Baryshpolets, Andrei",14117207.0,1991-01-16 00:00:00,Kiev,,2013,Ukraine,M,22.0
"Basso, Pier Luigi",866970.0,1997-12-15 00:00:00,Montebelluna,,2018,Italy,M,21.0
"Batchuluun, Tsegmed",4900847.0,1987-02-04 00:00:00,Ulan Bator,,2012,Mongolia,M,25.0
"Batsiashvili, Nino",13602993.0,1987-01-01 00:00:00,Batumi,,2018,Georgia,F,31.0
"Batsuren, Dambasuren",4902920.0,2004-01-22 00:00:00,,,2020,Mongolia,M,16.0
"Batyrov, Sapar",14000237.0,1967-11-29 00:00:00,,,1998,Turkmenistan,M,31.0
"Bauer, Christian",603767.0,1977-01-11 00:00:00,Forbach,,1997,France,M,20.0
"Becerra Rivero, Julio",3501728.0,1973-10-15 00:00:00,Havana,,1997,Cuba • United States,M,24.0
"Bedia, Melor",4137752.0,1979-09-26 00:00:00,,,2011,Russia,M,32.0
"Beim, Valery",1613782.0,1950-03-17 00:00:00,,,1994,Israel • Austria,M,44.0
"Beliavsky, Alexander",14602377.0,1953-12-17 00:00:00,Lvov,,1975,Soviet Union • Ukraine • Slovakia,M,22.0
"Belikov, Vladimir",4103904.0,1971-08-02 00:00:00,,,2000,Russia,M,29.0
"Belkhodja, Slim",600229.0,1962-11-23 00:00:00,,,2002,Tunisia,M,40.0
"Bellahcene, Bilel",696358.0,1998-03-14 00:00:00,Strasbourg,,2018,France • Algeria,M,20.0
"Bellón López, Juan Manuel",2200031.0,1950-05-08 00:00:00,Valencia,,1978,Spain,M,28.0
"Belous, Vladimir",4174003.0,1993-07-29 00:00:00,Kamensk-Shakhtinsky,,2013,Russia,M,20.0
"Belov, Vladimir",4132394.0,1984-08-06 00:00:00,Kirzhach,,2003,Russia,M,19.0
"Belozerov, Andrei",4120213.0,1977-06-17 00:00:00,,,2002,Russia,M,25.0
"Benidze, Davit",13603086.0,1991-02-15 00:00:00,Kutaisi,,2013,Georgia,M,22.0
"Benjamin, Joel",2000091.0,1964-03-11 00:00:00,New York City,,1986,United States,M,22.0
"Benko, Pal",2000687.0,1928-07-15 00:00:00,Amiens,2019-08-26 00:00:00,1958,United States,M,30.0
"Bérczes, Dávid",722960.0,1990-01-14 00:00:00,Borås,,2008,Hungary,M,18.0
"Berdichevski, Igor",4105249.0,1964-07-15 00:00:00,Moscow,,1995,Russia,M,31.0
"Berelowitsch, Alexander",14101440.0,1967-07-02 00:00:00,Kharkiv,,1997,Ukraine • Germany,M,30.0
"Berescu, Alin",1204920.0,1980-04-14 00:00:00,Timișoara,,2007,Romania,M,27.0
"Berg, Emanuel",1704060.0,1981-12-28 00:00:00,Skövde,,2004,Sweden,M,23.0
"Berkes, Ferenc",718572.0,1985-08-08 00:00:00,Baja,,2002,Hungary,M,17.0
"Bernadskiy, Vitaliy",14100371.0,1994-10-17 00:00:00,Chernovtsy,,2014,Ukraine,M,20.0
"Bernášek, Jan",311995.0,1986-05-31 00:00:00,Moravská Třebová,,2013,Czechoslovakia,M,27.0
"Bernstein, Ossip",,02/10/1882,Zhytomyr,1962-11-30 00:00:00,1950,France,M,68.0
"Beshukov, Sergei",4105451.0,1971-04-01 00:00:00,,,1994,Russia,M,23.0
"Bezgodov, Alexei",4105257.0,1969-06-30 00:00:00,,,1999,Russia,M,30.0
"Bezold, Michael",4601718.0,1972-05-23 00:00:00,Bayreuth,,1998,Germany,M,26.0
"Bhat, Vinay",2011352.0,1984-06-04 00:00:00,Santa Clara,,2008,United States,M,24.0
"Bilguun, Sumiya",4901541.0,1997-03-25 00:00:00,,,2020,Mongolia,M,23.0
"Bilek, István",700525.0,1932-08-11 00:00:00,Budapest,2010-03-20 00:00:00,1962,Hungary,M,30.0
"Bindrich, Falko",4676670.0,1990-10-17 00:00:00,Zittau,,2007,Germany,M,17.0
"Bischoff, Klaus",4600045.0,1961-06-09 00:00:00,Ulm,,1990,West Germany • Germany,M,29.0
"Bisguier, Arthur",2001098.0,1929-10-08 00:00:00,New York City,2017-04-05 00:00:00,1957,United States,M,28.0
"Bistrić, Faruk",14400294.0,1958-10-01 00:00:00,Sarajevo,,2003,Boznia and Herzegovina,M,45.0
"Bitoon, Richard",5201110.0,1975-12-14 00:00:00,Cebu,,2011,Philippines,M,36.0
"Biyiasas, Peter",2000431.0,1950-11-19 00:00:00,Athens,,1978,Canada • United States,M,28.0
"Bjerre, Jonas Buhl",1444948.0,2004-06-26 00:00:00,,,2020,Denmark,M,16.0
"Blagojević, Dragiša",900885.0,1966-01-01 00:00:00,Tuzla,,2004,Montenegro,M,38.0
"Blatný, Pavel",300047.0,1968-06-22 00:00:00,Brno,,1993,Czechoslovakia,M,25.0
"Blehm, Paweł",1107836.0,1980-04-17 00:00:00,Olkusz,,2001,Poland,M,21.0
"Blomqvist, Erik",1709437.0,1990-10-19 00:00:00,Stockholm,,2013,Sweden,M,23.0
"Blübaum, Matthias",24651516.0,1997-04-18 00:00:00,Lemgo,,2015,Germany,M,18.0
"Bluvshtein, Mark",2603608.0,1988-04-20 00:00:00,Yaroslavl,,2004,Canada,M,16.0
"Bobotsov, Milko",2900270.0,1931-10-30 00:00:00,Plovdiv,2000-04-03 00:00:00,1961,Bulgaria,M,30.0
"Bobras, Piotr",1106880.0,1977-09-09 00:00:00,Białystok,,2005,Poland,M,28.0
"Bocharov, Dmitry",4138716.0,1982-10-20 00:00:00,Novosibirsk,,2003,Russia,M,21.0
"Bocharov, Ivan",4180887.0,1990-01-06 00:00:00,Berdsk,,2020,Russia,M,30.0
"Bogdanovich, Stanislav",14115298.0,1993-02-04 00:00:00,Odessa,2020-03-05 00:00:00,2017,Ukraine,M,24.0
"Bogdanovski, Vlatko",15000206.0,1964-12-31 00:00:00,,,1993,North Macedonia,M,29.0
"Bogner, Sebastian",4692055.0,1991-01-17 00:00:00,Pforzheim,,2009,Germany • Switzerland,M,18.0
"Bogoljubov, Efim",,1889-04-14,"Stanislavitsk, near Kiev",1952-06-18 00:00:00,1951,West Germany,M,62.0
"Bogosavljević, Boban",931152.0,1988-04-26 00:00:00,Vršac,,2008,Serbia,M,20.0
"Bojkov, Dejan",2904292.0,1977-07-03 00:00:00,Shumen,,2008,Bulgaria,M,31.0
"Bok, Benjamin",1017063.0,1995-01-25 00:00:00,Lelystad,,2014,Netherlands,M,19.0
"Bolbochán, Julio",,1920-03-20 00:00:00,Buenos Aires,1996-06-28 00:00:00,1977,Argentina,M,57.0
"Boleslavsky, Isaac",,1919-06-09 00:00:00,Zolotonosha,1977-02-15 00:00:00,1950,Soviet Union,M,31.0
"Bologan, Victor",13900048.0,1971-12-14 00:00:00,Chișinău,,1991,Moldova,M,20.0
"Bondarevsky, Igor",,1913-05-12 00:00:00,Rostov-on-Don,1979-06-14 00:00:00,1950,Soviet Union,M,37.0
"Bönsch, Uwe",4611268.0,1958-10-15 00:00:00,Halle (Saale),,1986,West Germany • Germany,M,28.0
"Böök, Eero",,1910-02-09 00:00:00,Helsinki,1990-01-07 00:00:00,1984,Finland,M,74.0
"Borges Mateos, Juan",3500160.0,1966-03-28 00:00:00,Caimanera,,2004,Cuba,M,38.0
"Borišek, Jure",14603152.0,1986-07-27 00:00:00,Šempeter pri Gorici,,2009,Slovakia,M,23.0
"Boros, Dénes",722340.0,1988-04-30 00:00:00,Budapest,,2009,Hungary,M,21.0
"Borovikov, Vladislav",14102811.0,1973-08-10 00:00:00,,,2001,Ukraine,M,28.0
"Bortnyk, Olexandr",14120828.0,1996-10-18 00:00:00,Oleksandrivka,,2015,Ukraine,M,19.0
"Boruchovsky, Avital",2800055.0,1997-03-15 00:00:00,Israel,,2014,Israel,M,17.0
"Bosiočić, Marin",14507927.0,1988-08-08 00:00:00,Rijeka,,2008,Croatia,M,20.0
"Botvinnik, Mikhail",,1911-08-17 00:00:00,Kuokkala,1995-05-05 00:00:00,1950,Soviet Union • Russia,M,39.0
"Bouaziz, Slim",5500010.0,1950-04-16 00:00:00,Tunis,,1993,Tunisia,M,43.0
"Brandenburg, Daan",1011014.0,1987-11-14 00:00:00,Lelystad,,2011,Netherlands,M,24.0
"Braun, Arik",4663527.0,1988-02-08 00:00:00,Aresing,,2008,Germany,M,20.0
"Brenjo, Slaviša",913723.0,1974-04-02 00:00:00,Nevesinje,,2009,Serbia,M,35.0
"Bricard, Emmanuel",600245.0,1966-05-04 00:00:00,Versailles,,2005,France,M,39.0
"Brkić, Ante",14506688.0,1988-03-31 00:00:00,Stari Mikanovci,,2007,Croatia,M,19.0
"Brodsky, Michail",14100932.0,1969-03-27 00:00:00,,,1994,Ukraine,M,25.0
"Bromberger, Stefan",4635248.0,1982-03-19 00:00:00,Neuss,,2014,Germany,M,32.0
"Bronstein, David",4101359.0,1924-02-19 00:00:00,Belaya Tserkov,2006-12-05 00:00:00,1950,Soviet Union • Russia,M,26.0
"Brown, Michael",2037602.0,1997-08-24 00:00:00,"Irvine, California",,2019,United States,M,22.0
"Browne, Walter",2000210.0,1949-01-10 00:00:00,Sydney,2015-06-24 00:00:00,1970,Australia • United States,M,21.0
"Brunello, Sabino",813613.0,1989-06-27 00:00:00,Lovere,,2010,Italy,M,21.0
"Brunner, Lucas",1300024.0,1967-05-29 00:00:00,Bern,,1994,Switzerland,M,27.0
"Bruzón Batista, Lázaro",3503739.0,1982-05-02 00:00:00,Holguín,,1999,Cuba,M,17.0
"Brynell, Stellan",1700219.0,1962-09-28 00:00:00,,,2001,Sweden,M,39.0
"Bryzgalin, Kirill",4133285.0,1982-12-14 00:00:00,Sochi,,2008,Russia,M,26.0
Bu Xiangzhi,8601445.0,1985-12-10 00:00:00,Qingdao,,2000,China,M,15.0
"Buhmann, Rainer [de]",4651340.0,1981-02-20 00:00:00,Leimen,,2007,Germany,M,26.0
Bùi Vĩnh,12400726.0,1976-12-25 00:00:00,,,2008,Vietnam,M,32.0
"Bukavshin, Ivan",4199758.0,1995-05-03 00:00:00,Rostov-on-Don,2016-01-12 00:00:00,2011,Russia,M,16.0
"Bukić, Enver",14600030.0,1937-12-02 00:00:00,Banja Luka,,1976,Yugoslavia • Slovakia,M,39.0
"Bulski, Krzysztof",1121499.0,1987-02-12 00:00:00,Częstochowa,2020-12-17 00:00:00,2012,Poland,M,25.0
"Bunzmann, Dimitrij [de]",4634284.0,1982-02-21 00:00:00,"[[Tekeli, Kazakhstan|T",,2003,Germany,M,21.0
"Burg, Twan",1010697.0,1990-04-02 00:00:00,Schijndel,,2015,Netherlands,M,25.0
"Burke, John M.",2070901.0,2001-07-01 00:00:00,"Neptune City, New Jersey",,2018,United States,M,17.0
"Burmakin, Vladimir",4105109.0,1967-06-06 00:00:00,,,1994,Russia,M,27.0
"Butnorius, Algimantas",12800066.0,1946-11-20 00:00:00,Kaunas,2017-10-30 00:00:00,2007,Lithuania • Monaco,M,61.0
"Bykhovsky, Anatoly",2806991.0,1988-11-19 00:00:00,Samara,,2010,Israel,M,22.0
"Bykhovsky, Avigdor",4101057.0,1955-03-05 00:00:00,Moscow,,1993,Russia,M,38.0
"Byrne, Robert",2000385.0,1928-04-20 00:00:00,New York City,2013-04-12 00:00:00,1964,United States,M,36.0
"Cabrera, Alexis",3502783.0,1976-12-25 00:00:00,Matanzas,,2004,Colombia • Spain,M,28.0
"Čabrilo, Goran",900249.0,1958-07-01 00:00:00,Goražde,,1995,Serbia,M,37.0
"Cámpora, Daniel",100013.0,1957-06-30 00:00:00,San Nicolás de los Arroyos,,1986,Argentina,M,29.0
"Campos Moreno, Javier",3400034.0,1959-03-06 00:00:00,Santiago,,2005,Chile,M,46.0
"Can, Emre",6302181.0,1990-01-21 00:00:00,İzmir,,2010,Turkey,M,20.0
"Canal, Esteban",,1896-04-19,Chiclayo,1981-02-14 00:00:00,1977,Peru • Italy,M,81.0
Cao Sang,725056.0,1973-09-06 00:00:00,,,2003,Hungary • Vietnam,M,30.0
"Carlsen, Magnus",1503014.0,1990-11-30 00:00:00,Tønsberg,,2004,Norway,M,14.0
