Name,Fide ID,Nascimento,Place of Birth,Death,Date they became Grandmaster,Federation,Sexo,Age they became Grandmaster
"Sorokin, Maxim",108928.0,1968-01-22 00:00:00,,2007-06-30 00:00:00,1992,Russia • Argentina • Russia,M,24.0
"Sosonko, Gennadi",1000039.0,1943-05-18 00:00:00,Troitsk,,1976,Soviet Union • Netherlands,M,33.0
"Spangenberg, Hugo",101966.0,1975-11-22 00:00:00,Buenos Aires,,1996,Argentina,M,21.0
"Spasov, Vasil",2900041.0,1971-02-17 00:00:00,Varna,,1990,Bulgaria,M,19.0
"Spassky, Boris",600024.0,1937-01-30 00:00:00,Leningrad,,1955,Russia,M,18.0
"Spassov, Liuben",2900220.0,1943-03-22 00:00:00,Sofia,,1976,Bulgaria,M,33.0
"Speelman, Jon",400033.0,1956-10-02 00:00:00,London,,1980,England,M,24.0
"Spiridonov, Nikola",2900238.0,1938-02-28 00:00:00,Pleven,,1979,Bulgaria,M,41.0
"Spoelman, Wouter",1010891.0,1990-06-05 00:00:00,Zwolle,,2009,Netherlands,M,19.0
"Spraggett, Kevin",2600013.0,1954-11-10 00:00:00,Montreal,,1985,Canada,M,31.0
"Sprenger, Jan Michael",4646258.0,1982-11-26 00:00:00,Cologne,,2018,Germany,M,36.0
"Sriram, Jha",5001668.0,1976-07-18 00:00:00,Madhubani,,2010,India,M,34.0
"Ståhlberg, Gideon",,1908-01-26 00:00:00,Angered,1967-05-26 00:00:00,1950,Sweden,M,42.0
"Stanec, Nikolaus",1601776.0,1968-04-29 00:00:00,Vienna,,2003,Austria,M,35.0
"Stangl, Markus",4600274.0,1969-04-29 00:00:00,,2020-11-01 00:00:00,1993,Germany,M,24.0
"Stanojoski, Zvonko",15000257.0,1964-01-29 00:00:00,Prilep,,2004,North Macedonia,M,40.0
Stany G.A.,5029104.0,1993-01-22 00:00:00,"Bhadravati, Karnataka",,2019,India,M,26.0
"Starostīts, Ilmārs",11600748.0,1979-05-30 00:00:00,Rēzekne,,2010,Latvia,M,31.0
"Stean, Michael",400130.0,1953-09-04 00:00:00,London,,1977,England,M,24.0
"Stefanova, Antoaneta",2902257.0,1979-04-19 00:00:00,Sofia,,2002,Bulgaria,F,23.0
"Stefánsson, Hannes",2300087.0,1972-07-18 00:00:00,,,1993,Iceland,M,21.0
"Stein, Leonid",,1934-11-12 00:00:00,Kamenets-Podolsky,1973-07-04 00:00:00,1962,Soviet Union,M,28.0
"Steinberg, Nitzan",2801795.0,1998-01-12 00:00:00,,,2017,Israel,M,19.0
"Steingrímsson, Héðinn",2300117.0,1975-01-11 00:00:00,Reykjavík,,2007,Iceland,M,32.0
"Stella, Andrea",827061.0,1993-08-14 00:00:00,Cremona,,2017,Italy,M,24.0
"Stellwagen, Daniël",1006673.0,1987-03-01 00:00:00,Soest,,2004,Netherlands,M,17.0
"Stern, René",4611799.0,1972-02-15 00:00:00,Dresden,,2014,Germany,M,42.0
"Stević, Hrvoje",14502569.0,1980-01-08 00:00:00,Osijek,,2002,Croatia,M,22.0
"Štoček, Jiří",304760.0,1977-05-10 00:00:00,,,1998,Czechoslovakia,M,21.0
"Stohl, Igor",14900025.0,1964-09-27 00:00:00,Bratislava,,1992,Slovakia,M,28.0
"Stojanović, Dalibor",922692.0,1983-12-09 00:00:00,Bijeljina,,2012,Boznia and Herzegovina,M,29.0
"Stojanović, Mihajlo",916366.0,1977-05-11 00:00:00,Belgrade,,2007,Serbia,M,30.0
"Stoltz, Gösta",,1904-05-09 00:00:00,Stockholm,1963-07-25 00:00:00,1954,Sweden,M,50.0
"Stopa, Jacek",1119591.0,1987-01-03 00:00:00,Wrocław,,2015,Poland,M,28.0
"Stremavicius, Titas",12804444.0,1998-02-15 00:00:00,Kaunas,,2020,Lithuania,M,22.0
"Striković, Aleksa",900150.0,1961-05-12 00:00:00,Skopje,,1996,Serbia,M,35.0
"Stripunsky, Alexander",2015315.0,1970-08-18 00:00:00,,,1998,United States,M,28.0
"Studer, Noel",1319620.0,1996-10-18 00:00:00,Bern,,2017,Switzerland,M,21.0
"Stukopin, Andrey",24107131.0,1994-06-02 00:00:00,Rostov-on-Don,,2014,Russia,M,20.0
"Stupak, Kirill",13503758.0,1990-03-16 00:00:00,Minsk,,2011,Belarus,M,21.0
"Sturua, Zurab",13600095.0,1959-06-08 00:00:00,Tbilisi,,1991,Georgia,M,32.0
"Şubă, Mihai",1203363.0,1947-06-01 00:00:00,Bucharest,,1978,Romania • Spain,M,31.0
"Suetin, Alexey",4104668.0,1926-11-16 00:00:00,Kirovograd,2001-09-10 00:00:00,1965,Russia,M,39.0
"Šulava, Nenad",14500205.0,1962-12-25 00:00:00,Osijek,2019-09-05 00:00:00,2000,Croatia • Monaco,M,38.0
"Šulskis, Šarūnas",12800112.0,1972-11-26 00:00:00,Kėdainiai,,1996,Lithuania,M,24.0
"Sulypa, Oleksandr",14100487.0,1972-06-03 00:00:00,Lviv,,2000,Ukraine,M,28.0
"Sumets, Andrey",14105500.0,1980-04-15 00:00:00,Odessa,,2006,Ukraine,M,26.0
"Summerscale, Aaron",400980.0,1969-08-26 00:00:00,,,1997,England,M,28.0
Sundararajan Kidambi,5005370.0,1982-12-29 00:00:00,Chennai,,2009,India,M,27.0
"Narayanan, S.L.",5058422.0,1998-01-10 00:00:00,Trivandrum,,2016,India,M,18.0
"Sunye Neto, Jaime",2100037.0,1957-05-02 00:00:00,Curitiba,,1986,Brazil,M,29.0
"Supi, Luis Paulo",2106388.0,1996-10-10 00:00:00,Catanduva,,2018,Brazil,M,22.0
"Suradiradja, Herman",7100167.0,1947-10-14 00:00:00,Sukabumi,2016-06-06 00:00:00,1978,Indonesia,M,31.0
"Sutovsky, Emil",2802007.0,1977-09-19 00:00:00,Baku,,1996,Israel,M,19.0
"Suttles, Duncan",2600056.0,1945-12-21 00:00:00,San Francisco,,1973,Canada,M,28.0
"Svane, Rasmus",4657101.0,1997-05-21 00:00:00,Allerød Municipality,,2016,Germany,M,19.0
"Sveshnikov, Evgeny",4100638.0,1950-02-11 00:00:00,Chelyabinsk,,1977,Russia,M,27.0
"Svetushkin, Dmitry",13900463.0,1980-07-25 00:00:00,,2020-09-04 00:00:00,2002,Moldova,M,22.0
"Svidler, Peter",4102142.0,1976-06-17 00:00:00,Leningrad,,1994,Russia,M,18.0
"Swapnil, S. Dhopade",5019184.0,1990-10-05 00:00:00,Nagpur,,2016,India,M,26.0
"Swayams, Mishra",5028183.0,1992-08-13 00:00:00,Cuttack,,2019,India,M,27.0
"Świercz, Dariusz",1126881.0,1994-05-31 00:00:00,Tarnowskie Góry,,2009,Poland • United States,M,15.0
"Swinkels, Robin",1010824.0,1989-04-06 00:00:00,Asten,,2009,Netherlands,M,20.0
"Sychev, Klementy",4114060.0,1996-07-12 00:00:00,,,2019,Russia,M,23.0
"Szabó, Gergely-Andras-Gyula",1205064.0,1983-04-13 00:00:00,Bucharest,,2010,Romania,M,27.0
